اسم_تجاري_شائع_في_مصر,المادة_الفعالة,الشكل_الصيدلي_الشائع,التصنيف,الاستخدامات_الشائعة,جرعة_بالغين_عامة,أعراض_جانبية_شائعة,تحذيرات_مختصرة,حالة_الصرف,ملاحظة_للبوت,مصادر_للتحقق
Ventolin,Salbutamol / Albuterol,بخاخ / محلول نيبيولايزر,موسع شعب قصير المفعول,أزمات الربو أو ضيق الشعب عند اللزوم,حسب خطة الطبيب؛ غالبًا بخاخة إنقاذ عند اللزوم,رعشة، خفقان، صداع، عصبية,إذا احتجته كثيرًا راجع الطبيب؛ اطلب إسعافًا عند ضيق شديد لا يتحسن,بوصفة/بدون حسب الصرف,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Seretide,Fluticasone + Salmeterol,بخاخ / ديسكس,كورتيزون مستنشق + موسع شعب طويل,السيطرة على الربو/COPD حسب الخطة,يستخدم بانتظام حسب الطبيب وليس لإسعاف الأزمة الحادة,بحة صوت، فطريات فم، خفقان,اغسل الفم بعد الاستخدام؛ لا يوقف فجأة دون طبيب,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Symbicort,Budesonide + Formoterol,بخاخ / تربوهيلر,كورتيزون مستنشق + موسع شعب,السيطرة على الربو/COPD حسب وصف الطبيب,حسب خطة الطبيب؛ قد يستخدم كعلاج منتظم أو نظام محدد,رعشة، خفقان، فطريات فم، بحة,اغسل الفم؛ لا تستخدمه بدل بخاخ الإنقاذ إلا إذا وصف الطبيب ذلك,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Pulmicort,Budesonide,نيبيولايزر / بخاخ,كورتيكوستيرويد مستنشق,التهاب الشعب التحسسي والربو كعلاج وقائي,حسب وصف الطبيب,بحة صوت، فطريات فم، تهيج حلق,اغسل الفم بعد الاستخدام؛ ليس لإسعاف الأزمة الحادة,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Singulair,Montelukast,أقراص / أكياس,مضاد مستقبلات الليكوترين,الربو التحسسي وحساسية الأنف حسب الطبيب,للبالغين غالبًا مرة يوميًا حسب النشرة/الطبيب,صداع، ألم بطن، تغيرات مزاجية نادرة,راقب أي تغيرات نفسية أو كوابيس/اكتئاب وأبلغ الطبيب,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Mucosolvan,Ambroxol,شراب / أقراص,مذيب وطارد بلغم,الكحة المصحوبة ببلغم,حسب النشرة والعمر,غثيان، اضطراب معدة، طفح نادر,راجع الطبيب إذا البلغم مصحوب بدم أو حرارة مستمرة أو ضيق نفس,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Bisolvon,Bromhexine,شراب / أقراص,مذيب بلغم,الكحة ببلغم ولزوجة الإفرازات,حسب النشرة,غثيان، إسهال، تعرق، طفح,اشرب سوائل كافية؛ راجع الطبيب إذا استمرت الكحة أكثر من عدة أيام,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Sinecod,Butamirate,شراب / نقط,مهدئ كحة,الكحة الجافة غير المصحوبة ببلغم,حسب النشرة والعمر,دوخة، غثيان، نعاس خفيف,لا يستخدم مع كحة ببلغم إلا باستشارة؛ راجع الطبيب مع ضيق نفس أو حرارة,بدون وصفة/بوصفة حسب الصرف,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Bronchicum,Thyme extract + مكونات نباتية حسب الشكل,شراب / استحلاب,مستحضر عشبي للكحة,تهدئة الكحة والمساعدة في طرد البلغم,حسب النشرة,اضطراب معدة أو حساسية نادرة,الحذر مع الحساسية النباتية؛ راجع الطبيب للأطفال أو استمرار الأعراض,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Fluimucil,Acetylcysteine,أكياس / أقراص فوارة,مذيب بلغم,البلغم اللزج في نزلات الشعب أو الأمراض التنفسية حسب الطبيب,حسب النشرة/الطبيب,غثيان، رائحة/طعم كبريتي، طفح نادر,الحذر مع قرحة المعدة والربو؛ لا يستخدم للأطفال إلا حسب النشرة/الطبيب,بدون وصفة/بوصفة حسب الشكل,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Concor,Bisoprolol,أقراص,حاصر بيتا,ارتفاع الضغط، سرعة ضربات القلب، بعض أمراض القلب,حسب الطبيب؛ يؤخذ بانتظام ولا يوقف فجأة,بطء نبض، تعب، دوخة، برودة أطراف,لا توقفه فجأة؛ الحذر مع الربو، بطء النبض، هبوط الضغط,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Capoten,Captopril,أقراص,ACE inhibitor,ارتفاع الضغط وقصور القلب حسب الطبيب,حسب وصف الطبيب؛ قد يؤخذ قبل الأكل حسب النشرة,كحة جافة، دوخة، ارتفاع بوتاسيوم,ممنوع في الحمل؛ يحتاج متابعة ضغط وكلى وبوتاسيوم,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Coversyl,Perindopril,أقراص,ACE inhibitor,ارتفاع ضغط الدم وقصور القلب/حماية القلب حسب الطبيب,حسب الطبيب غالبًا مرة يوميًا,كحة، دوخة، ارتفاع بوتاسيوم,ممنوع في الحمل؛ راقب الكلى والبوتاسيوم,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Norvasc,Amlodipine,أقراص,حاصر قنوات كالسيوم,ارتفاع ضغط الدم والذبحة الصدرية,حسب الطبيب غالبًا مرة يوميًا,تورم القدمين، صداع، احمرار، دوخة,لا تعدل الجرعة دون الطبيب؛ راقب تورم شديد أو هبوط ضغط,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Exforge,Amlodipine + Valsartan,أقراص,خافض ضغط مركب,ارتفاع ضغط الدم عند الحاجة لتركيبة دوائية,حسب الطبيب مرة يوميًا غالبًا,دوخة، تورم قدمين، ارتفاع بوتاسيوم,ممنوع في الحمل؛ يحتاج متابعة ضغط وكلى وبوتاسيوم,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Lasix,Furosemide,أقراص / حقن,مدر بول,احتباس السوائل، هبوط القلب، ضغط الدم حسب الطبيب,حسب الطبيب؛ قد يسبب كثرة تبول,جفاف، نقص بوتاسيوم، دوخة,يحتاج متابعة أملاح وكلى؛ الحذر من الجفاف وهبوط الضغط,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Aldactone,Spironolactone,أقراص,مدر بول حافظ للبوتاسيوم,قصور القلب، الاستسقاء، بعض حالات الضغط/الهرمونات حسب الطبيب,حسب وصف الطبيب,ارتفاع بوتاسيوم، ألم معدة، تغيرات هرمونية,يحتاج متابعة بوتاسيوم وكلى؛ تجنب مكملات البوتاسيوم دون طبيب,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Crestor,Rosuvastatin,أقراص,ستاتين لخفض الكوليسترول,ارتفاع الكوليسترول وتقليل مخاطر القلب حسب الطبيب,حسب الطبيب غالبًا مرة يوميًا,ألم عضلات، صداع، اضطراب هضم,أبلغ الطبيب عن ألم عضلي شديد أو بول غامق؛ متابعة كبد عند الحاجة,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Lipitor,Atorvastatin,أقراص,ستاتين,خفض الكوليسترول وتقليل مخاطر أمراض القلب,حسب الطبيب غالبًا مرة يوميًا,ألم عضلات، اضطراب هضم، صداع,تداخلات دوائية مهمة؛ أبلغ الطبيب عن ألم عضلي شديد أو مشاكل كبد,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Aspirin Protect,Acetylsalicylic acid low dose,أقراص مغلفة,مضاد صفائح,الوقاية من الجلطات لبعض مرضى القلب/الشرايين حسب الطبيب,حسب الطبيب غالبًا جرعة منخفضة يوميًا,حموضة، نزيف، كدمات,لا يستخدم للوقاية بدون طبيب؛ الحذر مع قرحة المعدة ومميعات الدم,بوصفة/بتوجيه طبي,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Plavix,Clopidogrel,أقراص,مضاد صفائح,بعد الجلطات أو الدعامات أو أمراض الشرايين حسب الطبيب,حسب الطبيب غالبًا مرة يوميًا,نزيف، كدمات، إسهال,أخبر أي طبيب/طبيب أسنان قبل العمليات؛ تداخلات مع بعض أدوية الحموضة ومميعات الدم,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Clexane,Enoxaparin,حقن تحت الجلد,مضاد تجلط,الوقاية/العلاج من الجلطات حسب الطبيب,الجرعة حسب الوزن والحالة والكلى؛ بواسطة تدريب/مختص,كدمات مكان الحقن، نزيف,خطر النزيف؛ يحتاج ضبط جرعة في قصور الكلى والحمل حسب الطبيب,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Marevan,Warfarin,أقراص,مضاد تجلط,الوقاية/العلاج من جلطات محددة حسب الطبيب,حسب INR وتوجيه الطبيب فقط,نزيف، كدمات، غثيان,يتأثر بالطعام والأدوية؛ يحتاج متابعة INR منتظمة,بوصفة ومتابعة دقيقة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Glucophage,Metformin,أقراص / XR,دواء سكر من النوع الثاني,السكري النوع الثاني ومقاومة الإنسولين حسب الطبيب,حسب الطبيب؛ غالبًا يبدأ بجرعة منخفضة مع الطعام لتقليل اضطراب المعدة,غثيان، إسهال، مغص، طعم معدني,الحذر مع قصور الكلى؛ أبلغ الطبيب قبل صبغات الأشعة أو جفاف شديد,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Amaryl,Glimepiride,أقراص,سلفونيل يوريا للسكري,السكري النوع الثاني,حسب الطبيب غالبًا قبل/مع أول وجبة,هبوط سكر، زيادة وزن، دوخة,لا تفوت الوجبات؛ راقب أعراض هبوط السكر,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Diamicron MR,Gliclazide modified release,أقراص ممتدة المفعول,سلفونيل يوريا,السكري النوع الثاني,حسب الطبيب غالبًا مع الإفطار,هبوط سكر، غثيان، زيادة وزن,خطر هبوط السكر يزيد مع الصيام أو قلة الأكل؛ راقب السكر,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Galvus Met,Vildagliptin + Metformin,أقراص,دواء سكري مركب,السكري النوع الثاني عند الحاجة لتركيبة,حسب الطبيب ومع الطعام غالبًا,غثيان، إسهال، صداع,الحذر مع قصور الكلى والكبد؛ لا يستخدم للسكري النوع الأول,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Januvia,Sitagliptin,أقراص,DPP-4 inhibitor,السكري النوع الثاني,حسب الطبيب غالبًا مرة يوميًا,صداع، التهاب حلق، اضطراب معدة,تعديل الجرعة قد يلزم مع قصور الكلى؛ راجع الطبيب عند ألم بطن شديد,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Jardiance,Empagliflozin,أقراص,SGLT2 inhibitor,السكري النوع الثاني وقد يستخدم لفوائد قلب/كلى حسب الطبيب,حسب الطبيب غالبًا مرة يوميًا,كثرة تبول، التهابات فطرية/بولية، عطش,خطر جفاف أو كيتوأسيدوز نادر؛ أبلغ الطبيب عند قيء/ألم بطن/تنفس غريب,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Forxiga,Dapagliflozin,أقراص,SGLT2 inhibitor,السكري النوع الثاني وقصور القلب/الكلى في حالات محددة,حسب الطبيب غالبًا مرة يوميًا,كثرة تبول، التهابات بولية/فطرية، عطش,الحذر مع الجفاف والصيام الطويل؛ أوقف/راجع الطبيب قبل جراحات حسب التعليمات,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Lantus,Insulin glargine,قلم/فيال حقن,إنسولين طويل المفعول,السكري النوع الأول أو الثاني حسب الخطة,جرعة فردية يحددها الطبيب حسب السكر,هبوط سكر، زيادة وزن، تهيج مكان الحقن,تعلم علامات هبوط السكر؛ لا تغير الجرعة دون الطبيب,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
NovoMix 30,Biphasic insulin aspart 30/70,قلم/فيال حقن,إنسولين مخلوط,السكري حسب خطة الطبيب مع الوجبات,جرعة فردية مرتبطة بالوجبات وقراءات السكر,هبوط سكر، زيادة وزن، تهيج موضعي,لا تؤخذ جرعة دون أكل حسب الخطة؛ متابعة السكر مهمة,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Humalog,Insulin lispro,قلم/فيال حقن,إنسولين سريع المفعول,ضبط سكر الوجبات أو التصحيح حسب الخطة,جرعة فردية قبل/مع الوجبات حسب الطبيب,هبوط سكر، تهيج مكان الحقن,لا يستخدم دون خطة واضحة؛ احمل مصدر سكر سريع عند الخروج,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Fucidin,Fusidic acid,كريم / مرهم,مضاد حيوي موضعي,عدوى جلدية بكتيرية سطحية حسب تقييم الطبيب/الصيدلي,طبقة رقيقة حسب النشرة ولمدة محددة,حرقان أو حكة موضعية، طفح نادر,لا يستخدم لفترات طويلة أو على مساحات كبيرة دون طبيب؛ ليس للفطريات,بوصفة/بدون حسب الصرف,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Bepanthen,Dexpanthenol,كريم / مرهم,مرطب ومساعد ترميم الجلد,جفاف الجلد، التسلخات البسيطة، العناية بالبشرة,يوضع طبقة رقيقة حسب الحاجة والنشرة,حساسية أو تهيج نادر,أوقفه عند حساسية؛ الجروح العميقة أو العدوى تحتاج طبيب,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
